,ORIGIN_STATE_ABR,DEST_STATE_ABR,PASSENGERS
1019,OR,OK,66.0
1020,OR,OR,17389.0
1021,OR,TN,51.0
1022,OR,TX,17626.0
1023,OR,UT,18148.0
1024,OR,VA,3055.0
1025,OR,WA,51136.0
1026,PA,AL,1174.0
1027,PA,AR,529.0
1028,PA,AZ,22259.0
1029,PA,CA,33504.0
1030,PA,CO,21364.0
1031,PA,CT,6508.0
1032,PA,FL,189387.0
1033,PA,GA,58821.0
1034,PA,IA,777.0
1035,PA,IL,53555.0
1036,PA,IN,3923.0
1037,PA,KY,5803.0
1038,PA,LA,4271.0
1039,PA,MA,29730.0
1040,PA,MD,5923.0
1041,PA,ME,9237.0
1042,PA,MI,22629.0
1043,PA,MN,10210.0
1044,PA,MO,10094.0
1045,PA,MS,60.0
1046,PA,NC,59747.0
1047,PA,NE,774.0
1048,PA,NH,3568.0
1049,PA,NJ,5502.0
1050,PA,NV,12811.0
1051,PA,NY,30674.0
1052,PA,OH,8936.0
1053,PA,OK,451.0
1054,PA,PA,27377.0
1055,PA,PR,16701.0
1056,PA,RI,5049.0
1057,PA,SC,11355.0
1058,PA,TN,15296.0
