"PASSENGERS","DISTANCE","AIR_TIME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_NM","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_NM","AIRCRAFT_TYPE","MONTH","DISTANCE_GROUP",
1150.00,411.00,4045.00,11278,"DCA","Washington, DC","VA","Virginia",11193,"CVG","Cincinnati, OH","KY","Kentucky","631",3,1,
1151.00,356.00,2798.00,14307,"PVD","Providence, RI","RI","Rhode Island",11278,"DCA","Washington, DC","VA","Virginia","673",3,1,
1151.00,666.00,937.00,14100,"PHL","Philadelphia, PA","PA","Pennsylvania",10397,"ATL","Atlanta, GA","GA","Georgia","614",3,2,
1151.00,1028.00,1452.00,11697,"FLL","Fort Lauderdale, FL","FL","Florida",10676,"BLV","Belleville, IL","IL","Illinois","694",3,3,
1151.00,1449.00,4370.00,11292,"DEN","Denver, CO","CO","Colorado",10994,"CHS","Charleston, SC","SC","South Carolina","673",3,3,
1151.00,516.00,883.00,10397,"ATL","Atlanta, GA","GA","Georgia",13931,"ORF","Norfolk, VA","VA","Virginia","614",3,2,
1152.00,536.00,3725.00,10431,"AVL","Asheville, NC","NC","North Carolina",13930,"ORD","Chicago, IL","IL","Illinois","629",3,2,
1152.00,1572.00,3113.00,10397,"ATL","Atlanta, GA","GA","Georgia",12441,"JAC","Jackson, WY","WY","Wyoming","612",3,4,
1152.00,758.00,2382.00,10279,"AMA","Amarillo, TX","TX","Texas",12889,"LAS","Las Vegas, NV","NV","Nevada","612",3,2,
1152.00,1464.00,3271.00,14771,"SFO","San Francisco, CA","CA","California",11298,"DFW","Dallas/Fort Worth, TX","TX","Texas","887",3,3,
1153.00,2504.00,2218.00,12758,"KOA","Kona, HI","HI","Hawaii",12892,"LAX","Los Angeles, CA","CA","California","699",3,6,
1153.00,997.00,1886.00,15304,"TPA","Tampa, FL","FL","Florida",11618,"EWR","Newark, NJ","NJ","New Jersey","722",3,2,
1153.00,427.00,3686.00,12478,"JFK","New York, NY","NY","New York",14492,"RDU","Raleigh/Durham, NC","NC","North Carolina","676",3,1,
1153.00,1155.00,2915.00,14635,"RSW","Fort Myers, FL","FL","Florida",13198,"MCI","Kansas City, MO","MO","Missouri","614",3,3,
1153.00,1147.00,1635.00,11986,"GRR","Grand Rapids, MI","MI","Michigan",14635,"RSW","Fort Myers, FL","FL","Florida","722",3,3,
1153.00,265.00,1128.00,15096,"SYR","Syracuse, NY","NY","New York",10721,"BOS","Boston, MA","MA","Massachusetts","678",3,1,
1154.00,457.00,1569.00,10990,"CHO","Charlottesville, VA","VA","Virginia",10397,"ATL","Atlanta, GA","GA","Georgia","608",3,1,
1154.00,528.00,697.00,13487,"MSP","Minneapolis, MN","MN","Minnesota",11433,"DTW","Detroit, MI","MI","Michigan","694",3,2,
1154.00,1107.00,2316.00,14107,"PHX","Phoenix, AZ","AZ","Arizona",14747,"SEA","Seattle, WA","WA","Washington","614",3,3,
1154.00,509.00,1979.00,11433,"DTW","Detroit, MI","MI","Michigan",12478,"JFK","New York, NY","NY","New York","723",3,2,
1154.00,190.00,2515.00,10185,"AEX","Alexandria, LA","LA","Louisiana",12266,"IAH","Houston, TX","TX","Texas","675",3,1,
1155.00,727.00,990.00,14761,"SFB","Sanford, FL","FL","Florida",11027,"CKB","Clarksburg/Fairmont, WV","WV","West Virginia","694",3,2,
1155.00,456.00,1491.00,11433,"DTW","Detroit, MI","MI","Michigan",10693,"BNA","Nashville, TN","TN","Tennessee","614",3,1,
1155.00,977.00,2617.00,11292,"DEN","Denver, CO","CO","Colorado",12339,"IND","Indianapolis, IN","IN","Indiana","673",3,2,
1155.00,749.00,4752.00,14679,"SAN","San Diego, CA","CA","California",10713,"BOI","Boise, ID","ID","Idaho","673",3,2,
